school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,parent_edu_mean,total_alcohol,high_risk,total_support
0,1,-0.5294111246949488,1,0,1,1.1691529595312633,1.333832107780744,3,4,2,0,-0.635701184722968,1.202929879087654,-0.446388008777526,0,1,0,1,1,1,1,1,0.01775652825570375,0.7051628014224678,-0.10246084488278229,-0.5279522558382251,-1.0042421447095675,0.3380614843584926,-0.7586440503847741,1.3907987989173132,-0.892955565058867,-0.2801754691534546,0.39931275483198186
0,0,-0.5294111246949488,1,0,1,1.1691529595312633,0.4175474424357113,4,1,1,1,-0.635701184722968,1.202929879087654,-0.446388008777526,1,1,1,1,1,1,1,0,-1.1044560575047673,0.7051628014224678,0.7726101546566543,0.599297155275823,1.3008947879409654,0.3380614843584926,-0.4922756949163423,0.8785698706447365,1.1189799683357993,-0.2801754691534546,2.0170413513307803
0,1,-0.5294111246949488,1,0,1,-0.6873914385183809,-1.4150218882543542,2,2,0,1,2.1543206815611695,-1.2105675291136073,-0.446388008777526,0,0,0,0,1,1,1,0,0.01775652825570375,-0.27647352126255365,-0.10246084488278229,-0.5279522558382251,-1.0042421447095675,0.3380614843584926,0.04046101602052127,-1.170345842445571,-0.892955565058867,-0.2801754691534546,-1.2184158416668165
0,0,-0.5294111246949488,1,0,1,-0.6873914385183809,-0.49873722290932143,0,2,1,1,-0.635701184722968,-0.0038188250129766992,0.8843536022950986,1,0,0,1,1,1,1,0,-1.1044560575047673,-2.2397461666325964,-0.9775318444222187,-0.5279522558382251,-1.0042421447095675,1.055024095481202,0.04046101602052127,-0.6581169141729942,-0.892955565058867,-0.2801754691534546,0.39931275483198186
0,1,-1.311158392936087,1,1,0,0.24088076050644122,-0.49873722290932143,3,2,1,1,-0.635701184722968,-0.0038188250129766992,-0.446388008777526,0,1,1,0,1,1,1,0,0.01775652825570375,-1.258109843947575,-0.9775318444222187,-0.5279522558382251,-1.0042421447095675,-1.8128263490096355,-0.7586440503847741,-0.14588798590041732,-0.892955565058867,-0.2801754691534546,0.39931275483198186
0,0,-1.311158392936087,1,0,1,1.1691529595312633,1.333832107780744,3,3,0,1,-0.635701184722968,-1.2105675291136073,-0.446388008777526,1,1,1,0,1,1,1,0,-1.1044560575047673,-0.27647352126255365,0.7726101546566543,0.599297155275823,0.5325158103907878,1.055024095481202,-0.7586440503847741,1.3907987989173132,0.6159960849871327,-0.2801754691534546,2.0170413513307803
0,1,-0.5294111246949488,1,0,1,1.1691529595312633,0.4175474424357113,4,2,1,1,-0.635701184722968,-0.0038188250129766992,-0.446388008777526,0,1,1,1,1,1,1,0,-1.1044560575047673,0.7051628014224678,-0.10246084488278229,0.599297155275823,0.5325158103907878,-0.3789011267642168,0.5731977269573849,0.8785698706447365,0.6159960849871327,-0.2801754691534546,0.39931275483198186
0,0,1.0340834117873277,1,0,1,-0.6873914385183809,-1.4150218882543542,2,2,0,2,0.7593097484191007,1.202929879087654,-0.446388008777526,0,1,1,0,0,1,1,1,0.01775652825570375,0.7051628014224678,0.7726101546566543,-0.5279522558382251,-1.0042421447095675,-0.3789011267642168,-0.7586440503847741,-1.170345842445571,-0.892955565058867,-0.2801754691534546,0.39931275483198186
1,1,1.0340834117873277,1,1,1,-1.615663637543203,0.4175474424357113,0,3,0,1,-0.635701184722968,-1.2105675291136073,0.8843536022950986,0,0,0,0,1,0,1,1,0.01775652825570375,-0.27647352126255365,-0.10246084488278229,0.599297155275823,0.5325158103907878,-0.3789011267642168,0.17364519375473716,-0.6581169141729942,0.6159960849871327,-0.2801754691534546,-1.2184158416668165
0,0,0.25233614354618944,1,0,1,-1.615663637543203,-1.4150218882543542,0,2,3,1,-0.635701184722968,1.202929879087654,0.8843536022950986,0,1,0,1,1,1,0,1,0.01775652825570375,-0.27647352126255365,0.7726101546566543,-0.5279522558382251,-1.0042421447095675,1.055024095481202,-0.7586440503847741,-1.682574770718148,-0.892955565058867,-0.2801754691534546,0.39931275483198186
